player_id,player_name,team,position,as_of_date,age,age_sq,age_over_30,is_big,is_guard,minutes_l7,minutes_l14,minutes_l30,minutes_spike_7v30,games_l7,games_l14,games_l30,road_games_l14,back_to_backs_l14,avg_rest_days_l14,minutes_trend_slope,season_minutes_total,games_played_season,usage_proxy,team_pace,efficiency_drop,prior_injuries_365d,days_since_last_injury,injury_prone_flag,recurrence_same_area,injured_next_14d,true_risk
1022,Aaron Gordon,DEN,PF,2024-10-26,31,9.61,1.0,1,0,33.38,29.77,29.53,0.13,1,4,10,0,1,0.6,-0.156,75.2,2,0.762,96.72,0.048,1,18,0,0,0,0.5818
1022,Aaron Gordon,DEN,PF,2024-10-28,30,9.0,0.0,1,0,26.55,25.39,26.29,0.01,1,4,11,4,0,1.22,-0.747,149.6,5,0.805,97.29,0.01,1,21,0,1,1,0.5514
1022,Aaron Gordon,DEN,PF,2024-11-03,30,9.0,0.0,1,0,27.47,21.74,14.95,0.838,3,6,13,4,2,1.71,0.815,293.4,12,0.622,98.01,0.212,1,13,0,0,0,0.85
1022,Aaron Gordon,DEN,PF,2024-11-07,30,9.0,0.0,1,0,19.91,18.57,20.76,-0.041,3,5,9,2,2,2.01,-0.086,329.0,14,0.783,97.28,0.016,1,40,0,0,0,0.517
1022,Aaron Gordon,DEN,PF,2024-11-21,29,8.41,0.0,1,0,31.31,25.72,29.07,0.077,1,4,8,0,2,1.13,-0.32,425.2,16,0.764,97.85,0.033,0,394,0,0,0,0.3233
1022,Aaron Gordon,DEN,PF,2024-11-21,30,9.0,0.0,1,0,28.89,27.84,30.25,-0.045,2,6,10,3,2,0.99,0.566,504.3,19,0.745,97.94,0.009,1,20,0,1,1,0.8192
1022,Aaron Gordon,DEN,PF,2024-11-25,29,8.41,0.0,1,0,29.12,25.31,23.67,0.23,1,5,11,0,2,0.79,0.43,383.7,16,0.848,98.4,0.058,0,271,0,0,0,0.4415
1022,Aaron Gordon,DEN,PF,2024-11-27,30,9.0,0.0,1,0,27.9,26.23,34.37,-0.188,3,6,11,4,1,1.61,-0.116,621.2,21,0.7,97.95,0.0,1,73,0,0,0,0.4791
1022,Aaron Gordon,DEN,PF,2024-11-28,31,9.61,1.0,1,0,25.44,23.75,24.28,0.047,2,4,9,3,0,2.24,0.136,520.8,21,0.394,97.63,0.0,2,32,0,1,1,0.5477
1022,Aaron Gordon,DEN,PF,2024-11-29,30,9.0,0.0,1,0,28.55,25.5,25.62,0.114,3,6,13,3,2,1.34,0.328,401.2,17,0.573,98.75,0.154,1,20,0,1,1,0.85
1022,Aaron Gordon,DEN,PF,2024-11-30,29,8.41,0.0,1,0,22.45,21.41,20.77,0.081,3,5,10,2,0,2.23,-0.416,364.8,19,0.806,96.76,0.0,1,67,0,0,1,0.2652
1022,Aaron Gordon,DEN,PF,2024-12-07,29,8.41,0.0,1,0,36.72,33.55,31.55,0.164,3,6,10,1,0,1.9,0.623,637.6,21,0.859,98.1,0.035,0,316,0,0,1,0.2394
1022,Aaron Gordon,DEN,PF,2024-12-10,29,8.41,0.0,1,0,25.13,25.78,33.51,-0.25,2,4,13,3,0,1.15,-0.036,711.9,24,0.416,96.94,0.015,0,310,0,0,0,0.1308
